uniqueKey,az,lon,lat
23202602018070000000000003049108,190,136.91254,35.12093
23202602018086700000000003063607,45,136.91414,35.12353
23202602018087700000000003064506,285,136.91565,35.12504
23202602018089100000000003065707,90,136.91677,35.1259
23202602018089800000000003066207,90,136.91575,35.12592
23202602018090200000000003066801,105,136.91517,35.12466
23202602018090300000000003066908,285,136.91472,35.12562
23202602018114000000000003088308,10,136.91592,35.12618
23202602018117300000000003091601,90,136.91474,35.12596
23202602018117400000000003091708,290,136.91404,35.12545
23202602018117500000000003091805,290,136.9145,35.12532
23202602018117600000000003091902,210,136.91374,35.12445
23202602018117700000000003092003,355,136.91359,35.12423
23202602018117800000000003092003,165,136.91355,35.12452
23202602018118700000000003092402,0,136.91392,35.12585
23202602018118800000000003092402,90,136.91381,35.12597
23202602018126000000000003099601,5,136.91197,35.12262
23202602018126100000000003099709,110,136.91193,35.12177
23202602018126200000000003099806,295,136.9112,35.12158
23202602018128300000000003101606,175,136.9124,35.12286
23202602018129700000000003102904,170,136.91375,35.11842
23202602018129800000000003103005,300,136.91182,35.12118
23202602018130100000000003103307,10,136.91196,35.1233
23202602018131600000000003105105,100,136.91214,35.1234
23202602018131900000000003105407,270,136.912586,35.122638
23202602018132100000000003105806,185,136.91381,35.11978
23202602018140700000000014000402,135,136.91366,35.12319
